commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package stream - class ZSink - method collectLeftover,2.0,5.0,2.0,2.0,0.0,0.0,6.0,5.0,6.0,2.0,-0.0,1.0
HEAD,0,package stream - class ZSink - method contramap,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method contramapChunks,1.0,0.0,11.0,11.0,0.0,0.0,13.0,8.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method contramapChunksZIO,1.0,0.0,11.0,11.0,0.0,0.0,17.0,10.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method contramapZIO,1.0,0.0,4.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method dimap,1.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method dimapChunks,1.0,0.0,4.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method dimapChunksZIO,1.0,0.0,5.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method dimapZIO,1.0,0.0,5.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method ensuringWith,1.0,0.0,6.0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method ensuring,1.0,0.0,6.0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method filterInput,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method filterInputZIO,1.0,0.0,4.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method findZIO,5.0,20.0,34.0,34.0,0.0,0.0,53.0,20.0,12.0,4.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method flatMap,1.0,0.0,4.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method foldSink,3.0,5.0,11.0,11.0,0.0,0.0,7.0,4.0,8.0,2.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method foldCauseSink,3.0,20.0,26.0,24.0,2.0,0.07692307692307693,39.0,17.0,12.0,4.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method ignoreLeftover,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package stream - class ZSink - method map,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method mapError,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method mapErrorCause,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method mapLeftover,1.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method mapZIO,1.0,0.0,4.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
