commit,faults,path,Switch count,Max stretch,Min stretch,Average stretch,parParadigmEntropyBool,parParadigmGiniBool,parParadigmEntropyCount,parParadigmGiniCount,parParadigmEntropyFraction,parParadigmGiniFraction
HEAD,0,package servlet - class GitBucketReceivePackFactory - method create,0.0,32.0,32.0,32.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,2,package servlet - class CommitLogHook - method onPreReceive,10.0,33.0,33.0,33.0,-0.0,1.0,-0.0,1.0,-0.0,0.0
HEAD,0,package servlet - class CommitLogHook - method existCommit,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package servlet - class CommitLogHook - method getCommits,0.0,7.0,7.0,7.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,4,package servlet - class CommitLogHook - method onPostReceive,20.0,160.0,160.0,160.0,-0.0,1.0,-0.0,1.0,-0.0,0.0
HEAD,1,package servlet - class WikiCommitHook - method onPostReceive,8.0,55.0,55.0,55.0,-0.0,1.0,-0.0,1.0,-0.0,0.0
HEAD,0,package servlet - class WikiCommitHook - method mapToAction,1.0,6.0,6.0,6.0,-0.0,1.0,-0.0,1.0,-0.0,0.0
HEAD,0,package servlet - class WikiCommitHook - method buildWikiRecord,1.0,14.0,14.0,14.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,2,package ssh - class GitCommand - method runTask,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,3,package ssh - class GitCommand - method newTask,2.0,17.0,17.0,17.0,-0.0,1.0,-0.0,1.0,-0.0,0.0
HEAD,0,package ssh - class GitCommand - method start,0.0,2.0,2.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package ssh - class GitCommand - method destroy,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package ssh - class GitCommand - method setExitCallback,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package ssh - class GitCommand - method setErrorStream,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package ssh - class GitCommand - method setOutputStream,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package ssh - class GitCommand - method setInputStream,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package ssh - class GitCommand - method setSession,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package ssh - class DefaultGitCommand - method userName,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package ssh - class DefaultGitCommand - method isReadableUser,2.0,13.0,13.0,13.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package ssh - class DefaultGitCommand - method isWritableUser,2.0,13.0,13.0,13.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,2,package ssh - class DefaultGitUploadPack - method runTask,4.0,11.0,11.0,11.0,-0.0,1.0,-0.0,1.0,-0.0,0.0
HEAD,2,package ssh - class DefaultGitReceivePack - method runTask,4.0,17.0,17.0,17.0,-0.0,1.0,-0.0,1.0,-0.0,0.0
HEAD,2,package ssh - class PluginGitUploadPack - method runTask,4.0,10.0,10.0,10.0,-0.0,1.0,-0.0,1.0,-0.0,0.0
HEAD,2,package ssh - class PluginGitReceivePack - method runTask,4.0,10.0,10.0,10.0,-0.0,1.0,-0.0,1.0,-0.0,0.0
HEAD,0,package ssh - class GitCommandFactory - method createCommand,1.0,24.0,24.0,24.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package ssh - class GitCommandFactory - method pluginRepository,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package ssh - class GitCommandFactory - method routing,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package ssh - object PublicKeyAuthenticator - method putAuthType,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package ssh - object PublicKeyAuthenticator - method getAuthType,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package ssh - object PublicKeyAuthenticator - object AuthType - method userName,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package ssh - class PublicKeyAuthenticator - method authenticate,0.0,5.0,5.0,5.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package ssh - class PublicKeyAuthenticator - method authenticateLoginUser,3.0,11.0,11.0,11.0,-0.0,1.0,-0.0,1.0,-0.0,0.0
HEAD,0,package ssh - class PublicKeyAuthenticator - method authenticateGenericUser,2.0,37.0,37.0,37.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package api - trait ApiPullRequestControllerBase - method getApiPullRequest,0.0,24.0,24.0,24.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait ValidationSupport - method get,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package controller - trait ValidationSupport - method post,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package controller - trait ValidationSupport - method put,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package controller - trait ValidationSupport - method delete,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package controller - trait ValidationSupport - method ajaxGet,0.0,2.0,2.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package controller - trait ValidationSupport - method ajaxPost,0.0,2.0,2.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package controller - trait ValidationSupport - method ajaxDelete,0.0,2.0,2.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package controller - trait ValidationSupport - method ajaxPut,0.0,2.0,2.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package controller - trait ValidationSupport - method registerValidate,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait ValidationSupport - method ajaxError,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package controller - trait ValidationSupport - method toJson,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebHookForm,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebHook,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebHook - <$anon: <error>> - method validate,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebhookEvents,0.0,10.0,10.0,10.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebhookEvents - <$anon: <error>> - method convert,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebhookEvents - <$anon: <error>> - method validate,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method _headers,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package controller - trait AccountControllerBase - method existsAccount,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method existsAccount - <$anon: <error>> - method validate,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method uniqueRepository,0.0,11.0,11.0,11.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method uniqueRepository - <$anon: <error>> - method validate,0.0,10.0,10.0,10.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method members,0.0,7.0,7.0,7.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method members - <$anon: <error>> - method validate,0.0,6.0,6.0,6.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method validPublicKey,0.0,4.0,4.0,4.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method validPublicKey - <$anon: <error>> - method validate,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method validGpgPublicKey,0.0,8.0,8.0,8.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method validGpgPublicKey - <$anon: <error>> - method validate,0.0,7.0,7.0,7.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
