commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package http4s - object UriTemplate - object VarExp,7.0,2.0,8.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - object UriTemplate - class ReservedExp,10.0,2.0,12.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - object ReservedExp,7.0,2.0,8.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - object UriTemplate - class MultiFragmentExp,10.0,2.0,12.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - object MultiFragmentExp,7.0,2.0,8.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - object UriTemplate - class PathExp,10.0,2.0,12.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - object PathExp,7.0,2.0,8.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - object UriTemplate - class ParamExp,10.0,2.0,12.0,2.0,0.0,7.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - object ParamExp,7.0,2.0,8.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - object UriTemplate - class ParamContExp,10.0,2.0,12.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - object ParamContExp,7.0,2.0,8.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package websocket - trait WebSocket,1.0,4.0,5.0,0.0,2.0,4.0,5.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.5
HEAD,0,package websocket - class WebSocketSeparatePipe,7.0,2.0,9.0,2.0,1.0,12.0,12.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,-0.0,0.0
HEAD,0,package websocket - class WebSocketCombinedPipe,7.0,2.0,9.0,2.0,1.0,10.0,10.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0,4.0,0.0,0.0,-0.0,0.0
HEAD,0,package h2 - object H2Keys,7.0,1.0,8.0,0.0,0.0,14.0,9.0,4.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - object Content-Language,17.0,1.0,17.0,1.0,0.0,24.0,25.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,2.0,1.5,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - package headers - class Content-Language,2.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - object BracketRequestResponse,20.0,2.0,22.0,0.0,0.0,204.0,97.0,101.0,0.51010101010101,0.0,10.0,18.0,2.25,2.125,8.5,2.625,4.875,0.875,-0.0,0.0
HEAD,0,package http4s - class ContextRequest,5.0,6.0,11.0,2.0,2.0,6.0,5.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - object ContextRequest,15.0,6.0,19.0,1.0,0.0,25.0,25.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,6.5,6.0,0.0,0.0,-0.0,0.5
HEAD,0,package http4s - object ContextRequest - method contextRequestInstances - <$anon: <error>>,13.0,0.0,13.0,1.0,5.0,18.0,18.0,0.0,0.0,0.0,7.0,5.0,1.0,0.0,1.6,1.6,0.0,0.0,-0.0,0.0
HEAD,0,package http4s - trait Http4sSuitePlatform,4.0,1.0,5.0,0.0,1.0,4.0,3.0,1.0,0.25,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package testing - object fs2Arbitraries,1.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - trait MediaTypePlaform,2.0,1.0,3.0,0.0,1.0,7.0,4.0,3.0,0.42857142857142855,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - object MediaTypePlaform,21.0,1.0,22.0,0.0,0.0,26.0,21.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - object MediaTypePlaform - class Macros,18.0,5.0,23.0,0.0,1.0,18.0,18.0,0.0,0.0,0.0,9.0,3.0,3.0,11.0,8.0,6.0,37.0,1.0,-0.0,1.0
HEAD,2,package internal - object ServerHelpers,32.0,0.0,32.0,1.0,0.0,505.0,461.0,43.0,0.08531746031746032,0.0,16.0,53.0,4.818181818181818,7.363636363636363,17.727272727272727,2.8181818181818183,14.818181818181818,2.909090909090909,-0.0,0.0
HEAD,0,package http4s - package server - package staticcontent - class MemoryCache,14.0,1.0,15.0,1.0,1.0,28.0,27.0,2.0,0.06896551724137931,0.0,7.0,5.0,2.5,4.0,10.5,4.5,2.5,0.5,-0.0,0.0
HEAD,0,package http4s - package server - package staticcontent - object MemoryCache,2.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - package server - package middleware - object Jsonp,25.0,0.0,25.0,0.0,0.0,43.0,38.0,1.0,0.02564102564102564,0.0,16.0,8.0,2.0,2.0,10.0,4.25,2.75,0.5,-0.0,0.75
HEAD,0,package client - trait EmberClientBuilderPlatform,3.0,1.0,4.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package client - trait EmberClientBuilderCompanionPlatform,1.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - package circe - package object circe,2.0,7.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scaffold - object HandlersToNettyAdapter,6.0,2.0,8.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package scaffold - class HandlersToNettyAdapter,8.0,2.0,10.0,0.0,3.0,52.0,52.0,0.0,0.0,0.0,7.0,10.0,3.3333333333333335,4.0,10.666666666666666,3.6666666666666665,4.666666666666667,0.6666666666666666,-0.0,0.0
