commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,1,package cookie - class CookieJar,28.0,2.0,30.0,2.0,1.0,62.0,46.0,8.0,0.14814814814814814,0.0,34.0,12.0,6.0,7.0,23.0,16.0,18.0,6.0,-0.0,1.0
HEAD,0,package util - trait TypeCaster,6.0,27.0,33.0,0.0,3.0,14.0,10.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package util - trait LowPriorityTypeCaster,17.0,1.0,18.0,0.0,1.0,20.0,19.0,0.0,0.0,1.0,13.0,3.0,3.0,0.0,12.0,8.0,0.0,0.0,-0.0,1.0
HEAD,0,package util - trait LowPriorityTypeCaster - method genericTypeCaster - <$anon: io.gatling.commons.util.TypeCaster[T]>,16.0,0.0,16.0,1.0,2.0,18.0,16.0,0.0,0.0,0.0,12.0,4.0,2.0,0.0,6.0,6.0,0.0,0.0,-0.0,1.0
HEAD,1,package util - object TypeCaster,72.0,27.0,83.0,1.0,0.0,204.0,192.0,0.0,0.0,0.0,64.0,6.0,2.0,8.0,5.0,5.0,10.0,1.0,-0.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Boolean]>,16.0,0.0,16.0,1.0,2.0,15.0,14.0,0.0,0.0,0.0,9.0,9.0,5.0,8.0,5.0,4.0,9.0,2.0,-0.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Byte]>,16.0,0.0,16.0,1.0,2.0,15.0,14.0,0.0,0.0,0.0,11.0,8.0,4.0,9.0,6.0,5.0,9.0,2.0,-0.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Short]>,16.0,0.0,16.0,1.0,2.0,15.0,14.0,0.0,0.0,0.0,11.0,8.0,4.0,9.0,6.0,5.0,9.0,2.0,-0.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Int]>,16.0,0.0,16.0,1.0,2.0,15.0,14.0,0.0,0.0,0.0,11.0,8.0,4.0,9.0,6.0,5.0,9.0,2.0,-0.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Long]>,16.0,0.0,16.0,1.0,2.0,15.0,14.0,0.0,0.0,0.0,11.0,8.0,4.0,9.0,6.0,5.0,9.0,2.0,-0.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Float]>,16.0,0.0,16.0,1.0,2.0,15.0,14.0,0.0,0.0,0.0,11.0,8.0,4.0,9.0,6.0,5.0,9.0,2.0,-0.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Double]>,16.0,0.0,16.0,1.0,2.0,15.0,14.0,0.0,0.0,0.0,11.0,8.0,4.0,9.0,6.0,5.0,9.0,2.0,-0.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Char]>,14.0,0.0,14.0,1.0,2.0,15.0,14.0,0.0,0.0,0.0,10.0,8.0,4.0,9.0,7.0,6.0,9.0,2.0,-0.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[String]>,5.0,0.0,5.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[CharSequence]>,6.0,0.0,6.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[scala.concurrent.duration.FiniteDuration]>,24.0,0.0,24.0,1.0,2.0,21.0,20.0,0.0,0.0,0.0,16.0,14.0,7.0,9.0,13.0,8.0,21.0,5.0,-0.0,1.0
